benchmark,dataset,instance_id,seed,agent,arm,run,verdict,cost_usd,num_turns,wall_secs,agent_surface,agent_version,result_path
swebench,swebench-datasci-mini,astropy__astropy-12962,1,claude,baseline,1,FAIL,0.22110324999999997,14,84,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-12962_baseline_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-12962,1,claude,bash_only,1,FAIL,0.16000685,19,70,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-12962_bash_only_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-12962,1,claude,onlycode,1,FAIL,0.16353830000000003,18,91,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-12962_onlycode_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-13842,1,claude,baseline,1,FAIL,1.1633370999999997,37,623,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-13842_baseline_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-13842,1,claude,bash_only,1,FAIL,1.11603695,44,615,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-13842_bash_only_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-13842,1,claude,onlycode,1,FAIL,2.29066035,92,1030,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-13842_onlycode_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-6938,1,claude,baseline,1,FAIL,0.10152600000000002,4,18,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-6938_baseline_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-6938,1,claude,bash_only,1,FAIL,0.11100755000000001,14,59,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-6938_bash_only_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-6938,1,claude,onlycode,1,FAIL,0.16962449999999998,21,124,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-6938_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-11790,1,claude,baseline,1,PASS,0.11247469999999998,10,49,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11790_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-11790,1,claude,bash_only,1,FAIL,0.16445045000000003,16,104,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11790_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-11790,1,claude,onlycode,1,FAIL,0.11917955,14,73,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11790_onlycode_run1.jsonl
