product_id,quantity,unit_price
P002,17,396.79
P003,10,356.24
P013,5,391.36
P017,19,19.33
P007,7,419.3
P008,2,230.94
P012,7,140.62
P015,17,201.49
P004,1,124.76
P016,20,225.82
P016,19,277.91
P012,6,419.64
P009,3,146.11
P013,2,85.64
P019,7,429.27
P021,8,340.46
P009,14,259.07
P025,1,239.68
P005,6,302.57
P001,8,129.93
P010,9,214.78
P013,12,232.2
P007,15,154.56
P017,20,201.59
P004,1,258.2
P022,12,282.92
P020,20,144.93
P022,4,243.46
P011,9,322.09
P009,9,329.78
P021,10,98.24
P017,8,450.35
P020,13,331.96
P022,5,362.04
P021,16,498.75
P009,14,205.28
P024,2,293.6
P019,7,174.87
P023,8,344.73
P021,16,453.73
P022,12,256.12
P006,18,94.66
P004,16,68.33
P009,18,382.64
P006,11,328.95
P008,12,115.55
P010,14,395.1
P011,12,133.98
P010,15,426.35
P016,2,433.86
P019,19,472.43
P003,16,445.27
P017,4,434.41
P013,17,152.69
P002,5,73.0
P007,11,207.55
P019,15,75.9
P023,6,390.58
P016,11,317.36
P006,11,319.08
P001,15,140.4
P025,6,290.26
P006,16,393.68
P025,3,69.06
P014,14,204.68
P016,13,7.31
P018,7,366.68
P001,11,379.64
P017,7,13.87
P001,8,117.0
P012,10,68.82
P013,17,296.39
P006,3,412.8
P010,10,230.68
P017,20,264.44
P014,5,174.65
P016,12,376.31
P006,13,14.47
P008,5,109.54
P001,19,254.79
P004,12,357.0
P002,13,438.89
P009,18,313.45
P020,2,332.68
P021,1,28.88
P004,14,224.94
P004,18,130.11
P023,5,106.72
P022,1,154.05
P022,4,332.93
P009,20,304.79
P005,14,416.17
P004,17,360.79
P004,10,61.44
P004,16,103.33
P007,9,416.59
P007,12,353.2
P010,6,24.51
P016,7,345.66
P016,11,121.08
P001,3,453.91
P019,16,78.83
P003,17,42.15
P024,4,452.87
P021,8,231.09
P010,9,234.82
P004,6,437.7
P010,12,401.79
P011,14,370.58
P004,2,9.79
P005,6,167.69
P015,20,137.81
P024,3,189.45
P011,6,61.35
P013,15,139.56
P013,16,400.95
P021,6,60.96
P023,2,490.88
P006,4,210.93
P019,16,402.12
P022,15,94.72
P013,12,307.62
P022,5,244.12
P016,4,444.36
P015,2,36.35
P021,11,11.12
P022,17,384.93
P019,19,115.87
P022,11,261.95
P023,20,52.14
P022,8,243.56
P022,13,78.58
P018,20,32.01
P021,6,255.26
P016,16,435.36
P003,16,163.71
P011,9,29.92
P008,18,323.44
P013,8,44.02
P015,19,226.81
P016,15,161.45
P016,1,55.81
P014,2,280.78
P001,3,396.93
P020,10,445.6
P018,7,329.03
P015,11,184.85
P002,8,422.94
P011,18,384.87
P020,16,359.75
P012,15,61.44
P025,8,6.09
P012,10,276.11
P012,4,27.66
P006,16,74.52
P023,14,57.95
P020,7,97.83
P013,7,231.24
P007,11,58.34
P014,2,463.68
P022,19,65.99
P015,15,330.94
P017,5,482.11
P001,17,369.43
P018,14,420.21
P016,17,391.64
P006,19,90.96
P005,4,196.77
P020,20,441.93
P017,13,212.24
P020,8,140.43
P011,10,229.16
