product_id,quantity,unit_price
P020,10,23.5
P019,13,43.85
P002,11,177.23
P014,14,465.47
P004,8,375.1
P020,1,318.77
P021,13,31.79
P017,2,163.06
P019,5,166.78
P023,8,80.83
P022,13,485.66
P025,20,289.75
P003,8,218.81
P013,5,70.43
P003,16,287.86
P002,18,202.6
P003,13,253.4
P025,5,382.21
P016,18,103.06
P013,19,102.07
P020,17,126.89
P003,9,389.5
P011,19,49.35
P022,14,214.65
P012,7,163.77
P020,1,385.99
P006,12,310.03
P015,20,77.18
P002,8,103.84
P012,5,380.08
P003,4,371.09
P008,20,463.73
P010,1,174.92
P004,10,227.78
P001,11,108.46
P018,7,105.88
P017,9,276.66
P020,5,349.06
P022,1,191.42
P022,17,26.52
P006,2,145.59
P023,20,139.28
P015,1,37.97
P022,9,333.18
P022,12,432.82
P001,10,434.37
P021,13,119.43
P013,17,488.42
P004,11,244.91
P020,18,48.57
P007,17,483.56
P018,1,24.68
P017,10,170.12
P013,6,14.09
P022,12,180.91
P010,8,498.02
P017,9,406.89
P021,9,439.95
P001,18,474.81
P008,5,174.18
P013,5,48.46
P013,17,480.5
P020,8,211.58
P019,5,216.1
P010,20,168.0
P018,5,107.34
P005,19,272.97
P007,5,157.95
P023,17,455.23
P014,5,329.83
P019,6,162.16
P018,18,474.56
P004,6,162.21
P005,1,383.89
P014,14,155.16
P024,9,80.22
P007,4,70.12
P001,20,310.39
P020,19,308.12
P020,8,119.3
P001,12,44.34
P025,16,71.37
P020,16,357.45
P012,6,426.8
P016,16,73.07
P007,8,20.95
P025,1,463.09
P014,8,372.47
P007,7,37.74
P015,20,247.52
P011,15,444.36
P014,13,389.23
P020,13,361.5
P013,20,469.87
P019,20,270.4
P021,2,262.72
P015,15,414.37
P002,8,261.76
P013,2,281.06
P017,2,98.98
P015,13,442.78
P025,10,233.37
P014,10,308.5
P002,17,452.32
P015,15,49.77
P017,4,93.99
P019,18,71.98
P014,11,228.19
P006,15,297.21
P023,7,441.86
P003,9,165.42
P021,6,360.6
P004,3,61.51
P015,12,47.23
P023,13,364.8
P017,20,475.13
P013,18,193.4
P025,6,456.57
P019,5,85.25
P005,6,385.73
P002,14,157.49
P024,15,147.95
P006,4,449.78
P007,1,313.17
P009,1,232.03
P016,18,404.69
