product_id,quantity,unit_price
P002,7,261.35
P012,13,237.49
P015,2,24.75
P021,11,56.1
P017,9,418.26
P009,19,274.45
P006,13,328.57
P012,19,328.4
P003,17,129.54
P008,17,205.89
P012,16,397.37
P020,1,253.41
P005,15,86.97
P003,17,323.52
P007,5,97.52
P012,20,360.06
P004,8,210.23
P011,4,243.35
P016,16,109.3
P006,14,16.11
P002,5,288.88
P006,5,316.62
P002,19,77.7
P006,9,461.61
P017,13,301.68
P019,1,439.86
P024,10,473.89
P007,15,305.23
P016,16,89.43
P014,20,75.64
P019,6,313.49
P017,9,88.02
P022,11,461.56
P020,19,39.08
P013,13,70.45
P001,7,263.74
P017,14,414.12
P020,4,92.82
P020,20,24.32
P018,17,377.43
P003,16,331.4
P020,18,414.62
P025,14,263.41
P012,2,350.33
P014,8,469.52
P016,13,178.51
P024,19,53.37
P005,9,241.18
P008,3,145.22
P018,14,132.61
P001,1,291.1
P004,17,8.56
P021,7,345.44
P011,14,184.32
P005,14,327.53
P009,9,428.21
P014,19,185.99
P009,13,378.71
P014,18,392.98
P016,6,188.26
P018,16,130.62
P010,19,175.46
P023,13,369.21
P022,4,375.17
P015,6,54.64
P017,13,394.11
P018,20,350.04
P023,2,84.57
P021,1,403.16
P005,16,463.3
P014,3,36.72
P008,12,44.62
P002,13,465.69
P013,20,329.81
P010,20,33.44
P025,6,321.94
P015,1,104.85
P022,17,146.57
P002,20,257.72
P023,8,309.52
P022,2,183.07
P021,1,487.94
P003,9,390.94
P012,13,205.7
P007,17,12.61
P023,3,459.99
P018,10,364.44
P018,19,177.31
P009,8,305.15
P007,15,465.21
P019,1,134.25
P014,17,57.7
P003,17,150.65
P004,17,478.57
P018,19,128.82
P015,13,283.77
P025,8,379.95
P025,15,342.39
P019,1,243.58
P009,3,194.42
P008,8,401.08
P014,12,260.67
P001,9,127.89
P003,13,338.48
P011,3,279.5
P006,16,160.37
P007,19,138.19
P024,7,252.0
P007,8,369.04
P009,7,118.46
P008,20,181.23
P025,4,64.34
P003,16,308.84
P025,18,479.21
P016,12,312.23
P016,19,435.04
P016,6,492.28
P017,9,201.95
P025,19,68.48
P017,14,241.77
P018,2,253.73
P013,6,231.31
P004,17,232.73
P023,1,10.85
P007,13,292.6
P011,12,308.33
P009,6,276.54
P008,9,238.32
P020,11,186.13
P016,14,109.21
P023,12,185.71
P013,9,228.11
P019,5,489.74
P022,8,408.02
