product_id,quantity,unit_price
P012,15,310.59
P022,10,459.75
P019,3,337.69
P011,4,123.09
P004,6,189.79
P005,17,197.29
P020,5,289.53
P014,6,245.9
P018,6,279.68
P016,10,74.45
P011,15,311.61
P012,1,244.88
P007,13,482.1
P017,16,207.52
P016,14,356.52
P015,16,87.79
P019,1,398.96
P008,10,21.18
P008,18,147.89
P025,15,285.0
P025,16,277.11
P004,19,61.53
P025,18,412.52
P012,18,412.19
P002,15,275.44
P014,4,369.31
P021,8,152.37
P002,15,135.09
P003,15,433.32
P004,8,108.89
P024,19,346.12
P023,20,318.22
P006,20,73.92
P007,7,403.69
P019,12,268.48
P020,18,88.35
P023,10,148.22
P009,17,492.82
P022,4,72.12
P025,14,459.79
P009,5,352.21
P005,8,77.39
P011,8,381.93
P022,13,247.28
P019,9,315.77
P013,15,42.38
P025,3,204.41
P024,9,348.88
P012,15,475.38
P011,19,6.22
P025,3,366.81
P015,12,425.8
P018,13,112.83
P014,7,249.88
P011,10,172.19
P019,5,285.24
P016,11,447.61
P025,2,27.74
P021,15,13.06
P006,15,230.98
P014,7,497.87
P005,10,83.69
P009,3,329.02
P009,3,189.06
P021,6,30.63
P021,10,364.36
P025,8,217.47
P003,4,5.54
P016,3,70.69
P008,17,341.59
P001,1,349.32
P004,14,348.55
P016,3,118.33
P003,4,56.08
P012,10,72.88
P025,5,322.58
P022,5,38.86
P019,1,307.11
P006,15,178.84
P007,5,460.35
P020,15,430.68
P003,4,74.31
P004,19,366.35
P012,14,160.68
P005,8,142.1
P003,8,278.93
P020,20,146.04
P023,1,424.71
P022,10,106.7
P020,17,98.38
P013,10,324.85
P008,16,196.01
P008,16,320.85
P003,17,444.92
P001,12,467.29
P005,13,431.1
P019,14,185.88
P022,6,382.55
P025,3,13.26
P003,1,134.78
P002,2,474.6
P013,17,146.81
P023,17,384.72
P014,13,45.8
P018,18,309.94
P009,3,158.4
P017,7,487.29
P005,18,166.74
P019,3,158.53
P014,8,33.66
P003,14,62.41
P020,20,32.24
P022,6,64.12
P023,5,352.24
P006,16,476.74
P017,17,392.58
P024,9,87.65
P005,9,367.8
P004,1,170.83
P014,9,264.31
P009,19,315.63
P016,15,257.84
P002,16,430.38
P006,12,82.87
P025,4,447.66
P022,4,118.06
P017,1,26.8
P001,8,27.76
P012,13,460.51
P006,2,278.67
P023,14,116.14
P008,14,458.35
P011,9,413.87
P019,12,64.1
P022,2,93.78
P017,2,477.27
P003,15,433.69
P025,10,167.01
P018,15,8.94
P007,10,284.08
P010,20,125.08
P012,19,486.07
