product_id,quantity,unit_price
P017,9,235.14
P003,17,445.51
P003,8,238.86
P024,3,343.62
P018,19,159.69
P002,11,269.84
P001,16,229.75
P016,19,368.24
P014,12,480.49
P010,10,87.92
P023,20,375.97
P024,19,133.92
P021,16,291.18
P019,2,329.88
P010,20,18.51
P016,3,67.78
P003,9,129.77
P020,9,141.23
P009,1,372.01
P020,6,455.52
P024,5,331.28
P012,6,134.32
P023,8,245.03
P017,2,174.71
P003,5,299.79
P005,16,377.62
P014,13,122.78
P015,6,109.37
P024,12,31.89
P009,4,31.0
P015,13,240.73
P016,18,120.66
P022,13,239.92
P005,17,435.79
P001,10,463.98
P015,13,340.85
P017,2,53.2
P018,12,478.31
P014,20,459.43
P009,11,138.81
P004,9,328.9
P013,15,387.71
P024,8,368.49
P019,7,262.38
P022,6,160.07
P001,1,416.69
P001,14,53.36
P004,15,179.0
P024,10,129.69
P002,1,311.6
P002,20,330.02
P007,20,320.85
P023,4,47.76
P020,5,191.1
P025,19,402.58
P006,4,349.35
P009,10,236.14
P003,15,461.73
P009,14,347.65
P022,11,132.38
P025,3,142.26
P002,13,197.35
P002,9,478.02
P009,6,223.08
P016,7,307.1
P006,16,58.67
P018,14,113.1
P021,4,456.74
P023,9,56.13
P003,3,287.82
P009,15,14.29
P016,5,328.17
P001,2,333.98
P009,5,351.53
P013,19,6.83
P023,16,241.68
P013,3,272.36
P001,13,477.31
P025,16,65.0
P018,12,170.05
P010,13,32.32
P021,3,185.85
P011,3,421.38
P025,10,325.66
P006,18,24.47
P013,7,152.94
P013,4,317.16
P012,16,47.01
P021,15,368.99
P005,2,100.58
P024,19,123.05
P013,3,397.41
P021,10,252.34
P015,1,23.34
P002,11,394.95
P002,13,63.5
P021,17,231.89
P022,18,78.73
P019,8,462.78
P002,5,247.0
P001,16,454.05
P020,2,125.13
P021,5,12.11
P021,2,452.81
P004,15,307.56
P019,3,409.81
P004,4,251.09
P020,8,36.24
P007,14,171.98
P024,13,165.5
P022,19,275.21
P011,7,383.29
P019,6,171.07
P004,9,74.91
P014,6,349.67
P018,6,222.14
P019,2,71.02
P021,20,191.18
P006,1,440.42
P003,1,8.58
P003,19,444.02
P014,16,347.72
P007,5,321.71
P017,15,208.96
P006,20,347.38
P020,6,360.01
P020,3,315.46
P010,12,212.3
P018,8,99.99
P017,4,311.37
P025,18,256.23
P015,7,141.83
P007,4,399.32
P022,16,251.27
P006,2,31.74
P012,10,108.75
P009,11,310.33
P025,15,26.44
P024,2,462.81
P006,6,393.82
P016,17,62.45
P008,15,298.39
P011,14,103.38
P022,11,118.88
P004,11,117.75
P008,14,435.59
P013,8,41.4
P019,16,31.9
P014,5,112.0
P020,15,93.14
P012,5,231.58
P007,12,487.9
P007,11,67.97
P023,19,34.53
P005,4,426.57
P015,14,89.74
P011,8,443.77
P020,6,395.83
P021,20,453.26
P019,18,428.23
P003,14,429.2
P016,7,297.83
P015,9,12.18
P014,8,127.68
P014,19,115.09
P019,5,457.31
