product_id,quantity,unit_price
P015,15,339.44
P017,16,397.9
P024,6,331.13
P010,17,333.61
P020,11,51.23
P025,8,338.03
P008,7,77.94
P002,8,492.05
P020,3,230.43
P021,19,101.25
P023,13,249.72
P008,5,329.75
P001,4,390.32
P008,6,403.03
P023,17,234.95
P018,8,459.15
P004,15,71.0
P015,17,494.01
P020,11,475.27
P015,20,408.43
P017,14,416.13
P018,15,449.12
P024,16,227.78
P025,8,420.73
P009,17,244.88
P008,9,222.74
P023,10,121.07
P011,11,447.05
P003,5,79.66
P013,5,354.68
P003,14,206.76
P018,15,210.81
P007,14,197.79
P025,19,473.3
P001,19,193.29
P001,12,152.81
P013,14,271.42
P024,18,400.93
P008,16,113.61
P014,16,19.37
P011,13,363.47
P015,5,490.46
P018,1,453.93
P019,19,333.18
P003,14,72.17
P015,6,29.89
P013,11,109.77
P011,11,381.81
P013,9,377.24
P014,9,418.28
P016,1,375.77
P002,12,115.99
P003,2,378.35
P008,7,420.42
P020,5,123.08
P016,4,284.16
P007,15,351.24
P025,12,88.06
P020,4,390.01
P006,10,58.51
P001,10,290.02
P013,13,471.03
P007,3,298.09
P021,8,55.44
P025,10,425.9
P020,4,399.13
P019,2,176.87
P014,12,39.13
P021,11,11.26
P014,16,57.24
P012,15,355.12
P014,6,368.23
P021,9,309.88
P018,16,235.11
P024,19,137.86
P008,3,143.07
P015,8,376.49
P019,20,335.75
P011,1,249.68
P011,6,246.34
P012,9,173.47
P020,9,280.12
P017,7,47.38
P024,14,246.85
P025,8,346.85
P021,16,226.85
P001,3,150.65
P013,8,156.57
P019,12,239.26
P017,12,215.62
P024,18,168.74
P023,15,139.1
P009,8,64.72
P007,11,64.18
P018,6,99.81
P024,16,141.87
P019,17,300.41
P004,7,151.64
P012,6,154.62
P023,18,67.66
P002,2,278.91
P023,5,320.75
P025,16,55.78
P001,19,145.75
P016,15,173.65
P002,9,470.83
P016,4,411.95
P013,16,41.67
P021,2,80.1
P019,10,47.16
P008,4,281.25
P014,20,300.08
P020,8,388.97
P013,15,454.71
P010,19,495.07
P010,19,312.41
P020,4,474.06
P007,7,136.0
P003,6,123.73
P018,3,82.48
P014,15,346.24
P016,10,21.16
P010,10,352.98
P015,3,345.26
P009,19,332.29
P007,14,61.81
P008,5,454.66
P005,3,34.52
P010,20,375.73
P019,10,222.38
P015,10,351.37
P009,17,272.29
P015,3,301.03
P014,11,303.84
P001,3,118.32
P022,19,295.63
P001,9,290.24
P025,6,237.9
P021,15,458.46
P006,19,220.76
P016,3,237.66
P014,11,163.92
P004,6,168.25
P023,16,147.67
P013,18,23.17
P003,11,129.94
P004,13,433.13
P001,18,233.68
P002,7,261.63
