product_id,quantity,unit_price
P002,7,443.47
P011,10,260.11
P018,16,130.39
P025,7,146.62
P025,2,433.57
P011,9,66.62
P012,14,445.3
P024,15,447.85
P013,11,486.99
P016,16,186.84
P017,9,401.57
P024,14,44.07
P020,6,275.01
P011,4,44.63
P022,10,156.72
P020,14,87.49
P015,12,226.33
P024,12,309.35
P014,9,321.54
P002,3,337.24
P013,12,258.98
P024,6,476.63
P005,20,340.65
P015,2,67.48
P008,12,184.26
P019,2,304.52
P022,15,474.67
P012,15,382.73
P019,5,267.08
P013,11,326.53
P008,4,17.83
P006,16,261.28
P018,4,134.58
P009,15,111.21
P020,10,348.52
P016,7,65.71
P003,15,90.46
P023,15,498.64
P022,11,335.58
P023,3,277.25
P010,10,426.42
P023,6,397.88
P017,8,65.07
P007,5,122.18
P016,1,183.64
P019,12,236.37
P018,5,307.91
P003,3,158.1
P023,16,265.22
P025,14,412.55
P003,5,486.33
P021,3,227.74
P022,17,175.53
P025,18,321.7
P006,5,219.15
P002,4,261.46
P010,6,85.17
P023,8,176.28
P017,10,423.74
P009,7,319.35
P018,9,66.96
P010,20,269.07
P017,6,297.95
P019,5,89.74
P020,20,172.12
P019,2,413.49
P001,3,27.5
P021,19,136.0
P007,19,211.21
P021,1,251.53
P021,18,148.39
P010,16,126.21
P022,13,152.23
P003,2,83.25
P014,16,234.9
P011,20,76.12
P023,11,368.43
P012,13,69.73
P012,17,283.02
P011,8,235.9
P009,15,127.72
P004,2,148.65
P013,20,211.98
P006,11,467.21
P024,11,98.97
P006,16,498.0
P015,16,440.14
P016,1,49.57
P013,17,231.33
P008,7,293.76
P002,2,144.27
P020,16,146.45
P001,4,218.31
P009,12,383.11
P012,2,203.29
P019,18,101.35
P018,10,41.4
P017,15,383.38
P009,20,341.8
P004,5,487.67
P013,12,398.47
P011,18,469.78
P025,5,103.53
P017,13,252.54
P002,2,72.83
P011,16,262.07
P005,20,447.1
P005,11,466.03
P011,6,199.51
P020,10,298.89
P017,17,268.51
P023,19,153.4
P001,12,168.96
P004,14,293.93
P024,1,300.47
P009,19,290.93
P024,2,293.84
P006,17,316.37
P020,13,78.15
P022,8,20.63
P023,4,99.44
P015,11,212.3
P014,7,208.14
P025,20,460.66
P024,2,354.36
P017,7,282.64
P022,16,265.11
P011,6,232.53
P018,11,275.41
P022,9,306.99
P007,8,143.11
P010,8,471.04
