product_id,quantity,unit_price
P005,14,303.25
P024,17,152.96
P023,18,431.05
P023,18,318.13
P007,7,313.96
P010,12,460.99
P005,6,254.43
P023,11,356.62
P025,12,283.33
P019,19,471.62
P023,14,338.75
P018,10,439.35
P014,1,263.75
P001,13,76.94
P022,2,103.95
P025,6,491.85
P022,9,77.48
P002,10,105.98
P018,2,182.55
P015,4,309.97
P022,18,433.1
P024,18,197.5
P017,10,348.0
P002,13,196.84
P022,11,483.09
P002,1,373.12
P007,20,435.08
P015,8,456.19
P023,12,378.78
P018,20,102.25
P024,7,150.62
P006,3,97.55
P006,17,64.08
P002,14,143.16
P009,5,84.66
P009,1,168.63
P023,5,24.77
P011,20,30.17
P021,20,422.35
P010,16,396.0
P018,12,41.08
P023,11,265.07
P006,17,38.75
P017,6,210.89
P018,13,50.51
P008,7,333.35
P011,12,150.32
P025,20,267.6
P018,1,61.79
P012,15,123.97
P021,20,459.71
P008,2,342.86
P011,13,458.39
P004,13,132.01
P024,10,17.23
P017,12,259.58
P017,15,245.97
P010,7,163.55
P003,4,87.86
P025,18,268.94
P021,3,109.34
P021,7,433.15
P014,4,106.76
P023,14,325.05
P003,5,16.76
P023,11,23.75
P003,2,93.11
P009,18,39.87
P008,9,206.78
P015,13,219.35
P001,13,338.28
P018,1,322.5
P020,3,379.2
P019,2,351.94
P003,12,464.38
P004,10,394.51
P010,20,47.82
P025,15,193.8
P022,1,239.62
P018,8,72.51
P013,18,151.01
P021,5,152.54
P024,12,478.91
P001,18,438.01
P005,4,25.68
P019,20,200.07
P018,3,155.82
P024,12,109.81
P021,17,75.52
P006,8,310.36
P009,7,61.74
P022,19,426.86
P025,18,233.33
P018,3,148.87
P003,9,53.61
P024,19,246.16
P011,12,68.47
P021,8,54.52
P020,3,450.56
P011,16,228.07
P020,10,348.26
P005,19,285.6
P011,14,88.48
P011,8,393.9
P023,14,141.96
P012,5,341.39
P011,16,234.11
P012,10,246.05
P004,6,324.55
P003,9,430.06
P005,18,102.23
P024,3,365.08
P001,17,317.66
P019,19,205.54
P019,7,453.62
P018,9,274.02
P018,16,328.68
P005,12,199.29
P025,19,367.95
P010,5,235.03
P017,3,201.41
P017,1,333.03
P020,6,379.82
P005,15,83.82
P019,19,331.41
P005,16,469.89
P002,8,381.93
P008,3,135.86
